"HHID","AGroup_ID","a8aq1","a8aq2","a8aq3","a8aq4","a8aq5","a8aq6a","a8aq6b","hh","wgt_X"
40030401,107,2,2.5,0,,,,,"H04003-04-01",850.567138671875
40040401,106,0,,,,,,,"H04004-04-01",2551.70141601563
40040401,107,0,,,,,,,"H04004-04-01",2551.70141601563
40050401,106,0,,,,,,,"H04005-04-01",2551.70141601563
40050401,107,0,,,,,,,"H04005-04-01",2551.70141601563
40070401,106,0,,,,,,,"H04007-04-01",2551.70141601563
40070401,108,0,,,,,,,"H04007-04-01",2551.70141601563
40100401,106,0,,,,,,,"H04010-04-01",1275.85070800781
40100401,107,3,2,0,,,,,"H04010-04-01",1275.85070800781
40100401,108,0,,,,,,,"H04010-04-01",1275.85070800781
40110401,107,0,,,,,,,"H04011-04-01",1275.85070800781
42010401,101,0,,,,,,,"H04201-04-01",2551.70141601563
42010401,106,0,,,,,,,"H04201-04-01",2551.70141601563
42010401,107,0,,,,,,,"H04201-04-01",2551.70141601563
42020401,108,0,,,,,,,"H04202-04-01",2551.70141601563
42030401,105,0,,,,,,,"H04203-04-01",2551.70141601563
42030401,107,0,,,,,,,"H04203-04-01",2551.70141601563
42030401,108,3,1,0,,,,,"H04203-04-01",2551.70141601563
42040401,105,0,,,,,,,"H04204-04-01",2551.70141601563
42040401,106,0,,,,,,,"H04204-04-01",2551.70141601563
42040401,107,0,,,,,,,"H04204-04-01",2551.70141601563
42040401,108,0,,,,,,,"H04204-04-01",2551.70141601563
42050401,105,0,,,,,,,"H04205-04-01",2551.70141601563
42050401,106,0,,,,,,,"H04205-04-01",2551.70141601563
42060401,105,0,,,,,,,"H04206-04-01",2551.70141601563
42060401,107,0,,,,,,,"H04206-04-01",2551.70141601563
42070401,106,0,,,,,,,"H04207-04-01",2551.70141601563
42080402,107,0,,,,,,,"H04208-04-02",1275.85070800781
42080402,108,0,,,,,,,"H04208-04-02",1275.85070800781
42090401,105,0,,,,,,,"H04209-04-01",2551.70141601563
42090401,107,0,,,,,,,"H04209-04-01",2551.70141601563
42100401,107,6,1,0,,,,,"H04210-04-01",2551.70141601563
45080403,105,0,,,,,,,"H04508-04-03",698.11669921875
45090401,105,0,,,,,,,"H04509-04-01",2792.466796875
45090401,106,0,,,,,,,"H04509-04-01",2792.466796875
45090401,107,4,2,0,,,,,"H04509-04-01",2792.466796875
46020401,108,0,,,,,,,"H04602-04-01",2792.466796875
46030401,105,0,,,,,,,"H04603-04-01",2792.466796875
46030401,107,0,,,,,,,"H04603-04-01",2792.466796875
46030401,108,0,,,,,,,"H04603-04-01",2792.466796875
46040401,107,0,,,,,,,"H04604-04-01",2792.466796875
46060402,105,0,,,,,,,"H04606-04-02",1396.2333984375
46060402,108,0,,,,,,,"H04606-04-02",1396.2333984375
46070401,102,0,,,,,,,"H04607-04-01",2792.466796875
46070401,107,0,,,,,,,"H04607-04-01",2792.466796875
46080401,106,0,,,,,,,"H04608-04-01",2792.466796875
46080401,107,0,,,,,,,"H04608-04-01",2792.466796875
46090401,106,0,,,,,,,"H04609-04-01",2792.466796875
46090401,107,2,1.5,0,,,,,"H04609-04-01",2792.466796875
46100401,101,0,,,,,,,"H04610-04-01",930.822265625
46100401,108,0,,,,,,,"H04610-04-01",930.822265625
46100402,108,0,,,,,,,"H04610-04-02",930.822265625
46100403,106,0,,,,,,,"H04610-04-03",930.822265625
46100403,107,0,,,,,,,"H04610-04-03",930.822265625
46100403,108,0,,,,,,,"H04610-04-03",930.822265625
48020402,107,0,,,,,,,"H04802-04-02",930.822265625
48030402,103,5,2,10,2,140000,4803001,,"H04803-04-02",2792.466796875
48040401,107,1,1.5,0,,,,,"H04804-04-01",2792.466796875
48040401,108,0,,,,,,,"H04804-04-01",2792.466796875
48060401,105,0,,,,,,,"H04806-04-01",2792.466796875
48060401,106,0,,,,,,,"H04806-04-01",2792.466796875
48060401,107,0,,,,,,,"H04806-04-01",2792.466796875
48060401,108,0,,,,,,,"H04806-04-01",2792.466796875
48080401,105,0,,,,,,,"H04808-04-01",1396.2333984375
48080401,106,0,,,,,,,"H04808-04-01",1396.2333984375
48080401,107,5,2,0,,,,,"H04808-04-01",1396.2333984375
48080401,108,0,,,,,,,"H04808-04-01",1396.2333984375
48100401,108,0,,,,,,,"H04810-04-01",2792.466796875
49030401,106,0,,,,,,,"H04903-04-01",2792.466796875
49050401,106,0,,,,,,,"H04905-04-01",2792.466796875
49050401,107,0,,,,,,,"H04905-04-01",2792.466796875
49070401,106,0,,,,,,,"H04907-04-01",2792.466796875
49070401,107,0,,,,,,,"H04907-04-01",2792.466796875
49080401,108,0,,,,,,,"H04908-04-01",2792.466796875
49090401,106,1,15,10,2,5000,4909002,4909001,"H04909-04-01",2792.466796875
49090401,107,1,2,0,,,,,"H04909-04-01",2792.466796875
49090401,108,0,,,,,,,"H04909-04-01",2792.466796875
49100401,105,0,,,,,,,"H04910-04-01",2792.466796875
49100401,106,0,,,,,,,"H04910-04-01",2792.466796875
49100401,107,0,,,,,,,"H04910-04-01",2792.466796875
49120401,106,0,,,,,,,"H04912-04-01",2792.466796875
49130401,108,0,,,,,,,"H04913-04-01",465.4111328125
49130406,106,0,,,,,,,"H04913-04-06",465.4111328125
50020401,105,0,,,,,,,"H05002-04-01",2792.46655273438
50020401,107,0,,,,,,,"H05002-04-01",2792.46655273438
50030401,106,0,,,,,,,"H05003-04-01",1396.23327636719
50030401,107,0,,,,,,,"H05003-04-01",1396.23327636719
50040401,107,0,,,,,,,"H05004-04-01",2792.46655273438
50050401,106,1,11,0,,,,,"H05005-04-01",2792.46655273438
50050401,107,0,,,,,,,"H05005-04-01",2792.46655273438
50070401,107,0,,,,,,,"H05007-04-01",2792.46655273438
50080401,106,0,,,,,,,"H05008-04-01",2792.46655273438
50090401,107,0,,,,,,,"H05009-04-01",2792.46655273438
50100401,106,0,,,,,,,"H05010-04-01",2792.46655273438
50100401,107,0,,,,,,,"H05010-04-01",2792.46655273438
50100401,108,0,,,,,,,"H05010-04-01",2792.46655273438
51010401,101,0,,,,,,,"H05101-04-01",2792.466796875
51010401,107,0,,,,,,,"H05101-04-01",2792.466796875
51020401,107,2,2,0,,,,,"H05102-04-01",2792.466796875
51020401,108,1,30,28,2,200000,5102002,5102001,"H05102-04-01",2792.466796875
51060401,105,0,,,,,,,"H05106-04-01",2792.466796875
51060401,106,0,,,,,,,"H05106-04-01",2792.466796875
51060401,107,1,1,0,,,,,"H05106-04-01",2792.466796875
51060401,108,0,,,,,,,"H05106-04-01",2792.466796875
51080401,107,2,2,0,,,,,"H05108-04-01",2792.466796875
51080401,108,0,,,,,,,"H05108-04-01",2792.466796875
53020401,107,0,,,,,,,"H05302-04-01",2792.466796875
53020401,108,0,,,,,,,"H05302-04-01",2792.466796875
53030401,107,1,2,0,,,,,"H05303-04-01",2792.466796875
53040401,105,0,,,,,,,"H05304-04-01",2792.466796875
53040401,106,0,,,,,,,"H05304-04-01",2792.466796875
53040401,107,0,,,,,,,"H05304-04-01",2792.466796875
53040401,108,0,,,,,,,"H05304-04-01",2792.466796875
53050401,105,0,,,,,,,"H05305-04-01",465.4111328125
53050401,106,0,,,,,,,"H05305-04-01",465.4111328125
53050401,107,0,,,,,,,"H05305-04-01",465.4111328125
53050403,107,0,,,,,,,"H05305-04-03",465.4111328125
53060401,107,0,,,,,,,"H05306-04-01",1396.2333984375
53080401,105,0,,,,,,,"H05308-04-01",2792.466796875
53080401,107,5,1,0,,,,,"H05308-04-01",2792.466796875
53090401,107,2,1.75,0,,,,,"H05309-04-01",2792.466796875
53100401,102,0,,,,,,,"H05310-04-01",1396.2333984375
54030401,108,0,,,,,,,"H05403-04-01",2792.46655273438
54040401,107,0,,,,,,,"H05404-04-01",2792.46655273438
54040401,108,0,,,,,,,"H05404-04-01",2792.46655273438
54070402,108,0,,,,,,,"H05407-04-02",1396.23327636719
54090401,107,0,,,,,,,"H05409-04-01",2792.46655273438
54090401,108,0,,,,,,,"H05409-04-01",2792.46655273438
54100401,105,0,,,,,,,"H05410-04-01",2792.46655273438
54100401,108,0,,,,,,,"H05410-04-01",2792.46655273438
54120401,105,0,,,,,,,"H05412-04-01",930.822265625
54120401,108,0,,,,,,,"H05412-04-01",930.822265625
54120402,101,0,,,,,,,"H05412-04-02",930.822265625
54120402,106,0,,,,,,,"H05412-04-02",930.822265625
54120402,108,0,,,,,,,"H05412-04-02",930.822265625
57010401,106,0,,,,,,,"H05701-04-01",2792.466796875
57010401,108,0,,,,,,,"H05701-04-01",2792.466796875
57020401,105,0,,,,,,,"H05702-04-01",2792.466796875
57020401,107,0,,,,,,,"H05702-04-01",2792.466796875
57020401,108,0,,,,,,,"H05702-04-01",2792.466796875
57030401,105,0,,,,,,,"H05703-04-01",2792.466796875
57030401,106,0,,,,,,,"H05703-04-01",2792.466796875
57030401,107,0,,,,,,,"H05703-04-01",2792.466796875
57040401,103,0,,,,,,,"H05704-04-01",2792.466796875
57040401,105,0,,,,,,,"H05704-04-01",2792.466796875
57040401,106,0,,,,,,,"H05704-04-01",2792.466796875
57040401,107,1,5,0,,,,,"H05704-04-01",2792.466796875
57040401,108,0,,,,,,,"H05704-04-01",2792.466796875
57070401,108,0,,,,,,,"H05707-04-01",2792.466796875
57090401,107,2,4,0,,,,,"H05709-04-01",2792.466796875
57090401,108,0,,,,,,,"H05709-04-01",2792.466796875
57100401,105,0,,,,,,,"H05710-04-01",2792.466796875
57110401,107,0,,,,,,,"H05711-04-01",1396.2333984375
57110401,108,0,,,,,,,"H05711-04-01",1396.2333984375
59100401,101,0,,,,,,,"H05910-04-01",2551.701171875
59100401,102,0,,,,,,,"H05910-04-01",2551.701171875
60010401,101,0,,,,,,,"H06001-04-01",2551.70141601563
60010401,108,0,,,,,,,"H06001-04-01",2551.70141601563
60050401,103,0,,,,,,,"H06005-04-01",2551.70141601563
60060401,106,0,,,,,,,"H06006-04-01",2551.70141601563
60060401,107,0,,,,,,,"H06006-04-01",2551.70141601563
60060401,108,0,,,,,,,"H06006-04-01",2551.70141601563
60080401,107,2,2.5,0,,,,,"H06008-04-01",2551.70141601563
60090401,105,0,,,,,,,"H06009-04-01",2551.70141601563
60090401,106,0,,,,,,,"H06009-04-01",2551.70141601563
60090401,108,0,,,,,,,"H06009-04-01",2551.70141601563
60100401,101,0,,,,,,,"H06010-04-01",2551.70141601563
60100401,107,0,,,,,,,"H06010-04-01",2551.70141601563
60100401,108,0,,,,,,,"H06010-04-01",2551.70141601563
61020401,106,2,1.5,0,,,,,"H06102-04-01",2551.70141601563
61020401,107,0,,,,,,,"H06102-04-01",2551.70141601563
61030401,105,0,,,,,,,"H06103-04-01",2551.70141601563
61030401,106,0,,,,,,,"H06103-04-01",2551.70141601563
61030401,107,0,,,,,,,"H06103-04-01",2551.70141601563
61040401,107,2,2,0,,,,,"H06104-04-01",850.567138671875
61050401,105,0,,,,,,,"H06105-04-01",1275.85070800781
61050401,107,2,3,0,,,,,"H06105-04-01",1275.85070800781
61050401,108,1,40,0,,,,,"H06105-04-01",1275.85070800781
61050402,105,0,,,,,,,"H06105-04-02",1275.85070800781
61050402,106,2,10,0,,,,,"H06105-04-02",1275.85070800781
61050402,107,3,2,0,,,,,"H06105-04-02",1275.85070800781
61050402,108,0,,,,,,,"H06105-04-02",1275.85070800781
61070401,105,0,,,,,,,"H06107-04-01",2551.70141601563
61080401,105,0,,,,,,,"H06108-04-01",2551.70141601563
61080401,106,0,,,,,,,"H06108-04-01",2551.70141601563
61080401,107,0,,,,,,,"H06108-04-01",2551.70141601563
61090401,104,0,,,,,,,"H06109-04-01",2551.70141601563
61090401,106,0,,,,,,,"H06109-04-01",2551.70141601563
61090401,107,4,0.5,0,,,,,"H06109-04-01",2551.70141601563
61090401,108,0,,,,,,,"H06109-04-01",2551.70141601563
61100401,105,0,,,,,,,"H06110-04-01",2551.70141601563
61100401,106,0,,,,,,,"H06110-04-01",2551.70141601563
61100401,107,3,1,0,,,,,"H06110-04-01",2551.70141601563
62010401,105,0,,,,,,,"H06201-04-01",2551.701171875
62010401,107,0,,,,,,,"H06201-04-01",2551.701171875
62070401,101,1,60,0,,,,,"H06207-04-01",2551.701171875
62070401,105,0,,,,,,,"H06207-04-01",2551.701171875
62080401,105,0,,,,,,,"H06208-04-01",2551.701171875
62080401,106,2,20,0,,,,,"H06208-04-01",2551.701171875
62080401,107,0,,,,,,,"H06208-04-01",2551.701171875
63010401,107,0,,,,,,,"H06301-04-01",2551.70141601563
63030401,106,0,,,,,,,"H06303-04-01",850.567138671875
63030401,107,0,,,,,,,"H06303-04-01",850.567138671875
63050401,107,0,,,,,,,"H06305-04-01",2551.70141601563
63060401,106,0,,,,,,,"H06306-04-01",2551.70141601563
63070401,106,0,,,,,,,"H06307-04-01",2551.70141601563
63070401,107,0,,,,,,,"H06307-04-01",2551.70141601563
63100401,101,0,,,,,,,"H06310-04-01",850.567138671875
63100401,102,0,,,,,,,"H06310-04-01",850.567138671875
63100401,107,2,6,0,,,,,"H06310-04-01",850.567138671875
63100401,108,0,,,,,,,"H06310-04-01",850.567138671875
63100402,106,0,,,,,,,"H06310-04-02",850.567138671875
63100402,107,0,,,,,,,"H06310-04-02",850.567138671875
63100402,108,0,,,,,,,"H06310-04-02",850.567138671875
64020401,107,1,3,0,,,,,"H06402-04-01",2551.70141601563
64040401,107,0,,,,,,,"H06404-04-01",2551.70141601563
64040401,108,0,,,,,,,"H06404-04-01",2551.70141601563
64050401,106,0,,,,,,,"H06405-04-01",2551.70141601563
64050401,107,3,2,0,,,,,"H06405-04-01",2551.70141601563
64060401,106,0,,,,,,,"H06406-04-01",2551.70141601563
64060401,108,0,,,,,,,"H06406-04-01",2551.70141601563
64080401,107,0,,,,,,,"H06408-04-01",2551.70141601563
64080401,108,0,,,,,,,"H06408-04-01",2551.70141601563
64090401,101,0,,,,,,,"H06409-04-01",2551.70141601563
64090401,107,0,,,,,,,"H06409-04-01",2551.70141601563
64100401,107,3,10,0,,,,,"H06410-04-01",2551.70141601563
64100401,108,0,,,,,,,"H06410-04-01",2551.70141601563
64110401,107,2,1,0,,,,,"H06411-04-01",2551.70141601563
66040401,107,0,,,,,,,"H06604-04-01",2551.70141601563
66040401,108,1,25,25,5,150000,6604002,6604001,"H06604-04-01",2551.70141601563
66060401,106,0,,,,,,,"H06606-04-01",2551.70141601563
66070401,108,0,,,,,,,"H06607-04-01",2551.70141601563
66080401,108,0,,,,,,,"H06608-04-01",2551.70141601563
66090401,103,0,,,,,,,"H06609-04-01",2551.70141601563
66090401,106,1,20,0,,,,,"H06609-04-01",2551.70141601563
67010401,105,0,,,,,,,"H06701-04-01",2551.701171875
67010401,107,0,,,,,,,"H06701-04-01",2551.701171875
67020401,106,0,,,,,,,"H06702-04-01",2551.701171875
67020401,107,10,1.5,0,,,,,"H06702-04-01",2551.701171875
67030401,106,0,,,,,,,"H06703-04-01",2551.701171875
67040401,105,0,,,,,,,"H06704-04-01",2551.701171875
67040401,106,0,,,,,,,"H06704-04-01",2551.701171875
67040401,107,0,,,,,,,"H06704-04-01",2551.701171875
67040401,108,0,,,,,,,"H06704-04-01",2551.701171875
67060401,105,0,,,,,,,"H06706-04-01",2551.701171875
67060401,107,0,,,,,,,"H06706-04-01",2551.701171875
67060401,108,0,,,,,,,"H06706-04-01",2551.701171875
67080401,107,0,,,,,,,"H06708-04-01",2551.701171875
67090401,106,0,,,,,,,"H06709-04-01",2551.701171875
67090401,107,3,3,0,,,,,"H06709-04-01",2551.701171875
67100401,105,0,,,,,,,"H06710-04-01",2551.701171875
67100401,107,0,,,,,,,"H06710-04-01",2551.701171875
68060401,105,0,,,,,,,"H06806-04-01",2551.701171875
68060401,106,0,,,,,,,"H06806-04-01",2551.701171875
68060401,108,0,,,,,,,"H06806-04-01",2551.701171875
68070401,106,0,,,,,,,"H06807-04-01",2551.701171875
68070401,108,0,,,,,,,"H06807-04-01",2551.701171875
69030401,107,0,,,,,,,"H06903-04-01",2551.70141601563
69080401,106,0,,,,,,,"H06908-04-01",1275.85070800781
69110401,107,2,1.5,0,,,,,"H06911-04-01",1275.85070800781
69110401,108,0,,,,,,,"H06911-04-01",1275.85070800781
69140401,106,0,,,,,,,"H06914-04-01",2551.70141601563
70070401,101,0,,,,,,,"H07007-04-01",1275.85070800781
70070401,107,20,1,6,5,300000,7007001,7007002,"H07007-04-01",1275.85070800781
70070401,108,2,30,3,2,900000,7007001,7007002,"H07007-04-01",1275.85070800781
70080401,108,0,,,,,,,"H07008-04-01",2551.70141601563
70090401,105,0,,,,,,,"H07009-04-01",2551.70141601563
70090401,106,0,,,,,,,"H07009-04-01",2551.70141601563
70090401,107,3,2.5,0,,,,,"H07009-04-01",2551.70141601563
70090401,108,2,20,0,,,,,"H07009-04-01",2551.70141601563
70100401,101,0,,,,,,,"H07010-04-01",2551.70141601563
70100401,106,0,,,,,,,"H07010-04-01",2551.70141601563
70100401,107,5,2.5,0,,,,,"H07010-04-01",2551.70141601563
72030401,105,0,,,,,,,"H07203-04-01",2551.70141601563
72030401,107,12,12,0,,,,,"H07203-04-01",2551.70141601563
72040401,106,0,,,,,,,"H07204-04-01",2551.70141601563
72040401,108,0,,,,,,,"H07204-04-01",2551.70141601563
72070401,105,0,,,,,,,"H07207-04-01",1275.85070800781
72080401,107,0,,,,,,,"H07208-04-01",1275.85070800781
72080401,108,0,,,,,,,"H07208-04-01",1275.85070800781
72080402,106,0,,,,,,,"H07208-04-02",1275.85070800781
72090401,107,0,,,,,,,"H07209-04-01",2551.70141601563
72100401,101,0,,,,,,,"H07210-04-01",2551.70141601563
72100401,106,0,,,,,,,"H07210-04-01",2551.70141601563
72100401,107,0,,,,,,,"H07210-04-01",2551.70141601563
73030401,106,0,,,,,,,"H07303-04-01",2551.701171875
73060401,108,0,,,,,,,"H07306-04-01",2551.701171875
73070401,106,0,,,,,,,"H07307-04-01",2551.701171875
73070401,107,2,3,0,,,,,"H07307-04-01",2551.701171875
73090401,107,4,1,0,,,,,"H07309-04-01",2551.701171875
73090401,108,0,,,,,,,"H07309-04-01",2551.701171875
73100401,105,0,,,,,,,"H07310-04-01",2551.701171875
73100401,106,0,,,,,,,"H07310-04-01",2551.701171875
73100401,107,0,,,,,,,"H07310-04-01",2551.701171875
74080401,105,0,,,,,,,"H07408-04-01",850.567138671875
74080401,106,0,,,,,,,"H07408-04-01",850.567138671875
74080401,107,0,,,,,,,"H07408-04-01",850.567138671875
74080402,101,0,,,,,,,"H07408-04-02",850.567138671875
74080402,106,0,,,,,,,"H07408-04-02",850.567138671875
74080402,107,0,,,,,,,"H07408-04-02",850.567138671875
74080403,101,0,,,,,,,"H07408-04-03",850.567138671875
75020406,105,0,,,,,,,"H07502-04-06",425.283569335938
75020406,106,0,,,,,,,"H07502-04-06",425.283569335938
75020406,107,0,,,,,,,"H07502-04-06",425.283569335938
75040401,101,0,,,,,,,"H07504-04-01",2551.70141601563
75040401,107,4,2,0,,,,,"H07504-04-01",2551.70141601563
75040401,108,0,,,,,,,"H07504-04-01",2551.70141601563
75060401,107,0,,,,,,,"H07506-04-01",2551.70141601563
75060401,108,0,,,,,,,"H07506-04-01",2551.70141601563
75080401,106,0,,,,,,,"H07508-04-01",2551.70141601563
75080401,107,2,1,0,,,,,"H07508-04-01",2551.70141601563
75080401,108,0,,,,,,,"H07508-04-01",2551.70141601563
75090401,107,2,4,0,,,,,"H07509-04-01",637.925354003906
75090402,107,0,,,,,,,"H07509-04-02",637.925354003906
75090402,108,0,,,,,,,"H07509-04-02",637.925354003906
75100401,101,0,,,,,,,"H07510-04-01",2551.70141601563
75100401,106,1,16,0,,,,,"H07510-04-01",2551.70141601563
75100401,108,0,,,,,,,"H07510-04-01",2551.70141601563
81020401,105,0,,,,,,,"H08102-04-01",465.4111328125
81020401,106,0,,,,,,,"H08102-04-01",465.4111328125
81020401,108,0,,,,,,,"H08102-04-01",465.4111328125
81020402,103,0,,,,,,,"H08102-04-02",465.4111328125
81020402,105,0,,,,,,,"H08102-04-02",465.4111328125
81020402,106,0,,,,,,,"H08102-04-02",465.4111328125
83010401,105,0,,,,,,,"H08301-04-01",2792.466796875
83010401,106,0,,,,,,,"H08301-04-01",2792.466796875
83010401,107,1,3,0,,,,,"H08301-04-01",2792.466796875
83020401,108,0,,,,,,,"H08302-04-01",698.11669921875
83020402,101,0,,,,,,,"H08302-04-02",698.11669921875
83020402,106,0,,,,,,,"H08302-04-02",698.11669921875
83020402,107,3,1,0,,,,,"H08302-04-02",698.11669921875
83020402,108,0,,,,,,,"H08302-04-02",698.11669921875
83020403,108,0,,,,,,,"H08302-04-03",698.11669921875
83020404,108,0,,,,,,,"H08302-04-04",698.11669921875
83030401,106,0,,,,,,,"H08303-04-01",2792.466796875
83030401,107,0,,,,,,,"H08303-04-01",2792.466796875
83030401,108,0,,,,,,,"H08303-04-01",2792.466796875
83040401,107,0,,,,,,,"H08304-04-01",2792.466796875
83040401,108,0,,,,,,,"H08304-04-01",2792.466796875
83070403,106,0,,,,,,,"H08307-04-03",1396.2333984375
83070403,107,2,2,0,,,,,"H08307-04-03",1396.2333984375
83070403,108,0,,,,,,,"H08307-04-03",1396.2333984375
83080401,106,0,,,,,,,"H08308-04-01",1396.2333984375
83080401,108,0,,,,,,,"H08308-04-01",1396.2333984375
84020401,107,7,1,0,,,,,"H08402-04-01",2792.466796875
84020401,108,0,,,,,,,"H08402-04-01",2792.466796875
84040401,106,0,,,,,,,"H08404-04-01",2792.466796875
84040401,107,0,,,,,,,"H08404-04-01",2792.466796875
84040401,108,0,,,,,,,"H08404-04-01",2792.466796875
84050401,105,0,,,,,,,"H08405-04-01",2792.466796875
84050401,106,0,,,,,,,"H08405-04-01",2792.466796875
84050401,107,0,,,,,,,"H08405-04-01",2792.466796875
84090401,106,1,15,0,,,,,"H08409-04-01",1396.2333984375
84090401,107,1,2,0,,,,,"H08409-04-01",1396.2333984375
84090402,105,0,,,,,,,"H08409-04-02",1396.2333984375
84090402,106,0,,,,,,,"H08409-04-02",1396.2333984375
84090402,107,1,1,0,,,,,"H08409-04-02",1396.2333984375
84100401,106,0,,,,,,,"H08410-04-01",2792.466796875
85010401,106,0,,,,,,,"H08501-04-01",2792.466796875
85010401,107,0,,,,,,,"H08501-04-01",2792.466796875
85020401,106,0,,,,,,,"H08502-04-01",2792.466796875
85020401,107,0,,,,,,,"H08502-04-01",2792.466796875
85030401,108,0,,,,,,,"H08503-04-01",930.822265625
85030403,106,0,,,,,,,"H08503-04-03",930.822265625
85030403,107,2,1.5,0,,,,,"H08503-04-03",930.822265625
85040401,106,0,,,,,,,"H08504-04-01",2792.466796875
85050401,106,0,,,,,,,"H08505-04-01",2792.466796875
85060401,106,0,,,,,,,"H08506-04-01",2792.466796875
85060401,107,1,1.5,0,,,,,"H08506-04-01",2792.466796875
85060401,108,0,,,,,,,"H08506-04-01",2792.466796875
85080401,106,0,,,,,,,"H08508-04-01",2792.466796875
85090401,106,0,,,,,,,"H08509-04-01",2792.466796875
85090401,107,0,,,,,,,"H08509-04-01",2792.466796875
85100401,106,0,,,,,,,"H08510-04-01",1396.2333984375
86020401,107,0,,,,,,,"H08602-04-01",930.822265625
86020401,108,0,,,,,,,"H08602-04-01",930.822265625
86020403,108,0,,,,,,,"H08602-04-03",930.822265625
86030401,105,0,,,,,,,"H08603-04-01",1396.23327636719
86030401,107,2,1.5,0,,,,,"H08603-04-01",1396.23327636719
86030401,108,0,,,,,,,"H08603-04-01",1396.23327636719
86050401,107,0,,,,,,,"H08605-04-01",2792.46655273438
86050401,108,0,,,,,,,"H08605-04-01",2792.46655273438
86090401,107,0,,,,,,,"H08609-04-01",2792.46655273438
86090401,108,0,,,,,,,"H08609-04-01",2792.46655273438
86110401,107,1,1.5,0,,,,,"H08611-04-01",2792.46655273438
86110401,108,0,,,,,,,"H08611-04-01",2792.46655273438
87010401,105,0,,,,,,,"H08701-04-01",2792.466796875
87010401,106,0,,,,,,,"H08701-04-01",2792.466796875
87030401,101,0,,,,,,,"H08703-04-01",2792.466796875
